departamento_mineduc,municipio_mineduc,municipio_catalogo,filas,municipio_codigo_catalogo,recomendacion,evidencia_mineduc_codigo,confianza,nota_no_renombrar
QUICHE,IXCAN,Playa Grande Ixcán,61,1420,alias_confirmable_por_catalogo,Las 61 filas MINEDUC usan segmento municipal 1420 y el limpio conserva ese código.,alta,"Conservar texto MINEDUC; el alias habilita unión por código, no un renombre automático."
QUICHE,NEBAJ,Santa María Nebaj,26,1413,alias_confirmable_por_catalogo,Las 26 filas MINEDUC usan segmento municipal 1413 y el limpio conserva ese código.,alta,"Conservar texto MINEDUC; el alias habilita unión por código, no un renombre automático."
ALTA VERAPAZ,LA TINTA,Santa Catalina La Tinta,23,1616,alias_confirmable_por_catalogo,Las 23 filas MINEDUC usan segmento municipal 1616 y el limpio conserva ese código.,alta,"Conservar texto MINEDUC; el alias habilita unión por código, no un renombre automático."
QUETZALTENANGO,GENOVA COSTA CUCA,Génova,11,921,alias_confirmable_por_catalogo,Las 11 filas MINEDUC usan segmento municipal 921 y el limpio conserva ese código.,alta,"Conservar texto MINEDUC; el alias habilita unión por código, no un renombre automático."
ALTA VERAPAZ,LANQUIN,San Agustín Lanquín,10,1611,alias_confirmable_por_catalogo,Las 10 filas MINEDUC usan segmento municipal 1611 y el limpio conserva ese código.,alta,"Conservar texto MINEDUC; el alias habilita unión por código, no un renombre automático."
SACATEPEQUEZ,ALOTENANGO,San Juan Alotenango,9,314,alias_confirmable_por_catalogo,Las 9 filas MINEDUC usan segmento municipal 314 y el limpio conserva ese código.,alta,"Conservar texto MINEDUC; el alias habilita unión por código, no un renombre automático."
QUETZALTENANGO,OLINTEPEQUE,San Juan Olintepeque,5,903,alias_confirmable_por_catalogo,Las 5 filas MINEDUC usan segmento municipal 903 y el limpio conserva ese código.,alta,"Conservar texto MINEDUC; el alias habilita unión por código, no un renombre automático."
