departamento,municipio,filas,tipo,sugerencia_oficial,similitud,decision
QUICHE,IXCAN,61,municipio_desconocido,Playa Grande Ixcán,90.0,revisar
QUICHE,NEBAJ,26,municipio_desconocido,Santa María Nebaj,90.0,revisar
ALTA VERAPAZ,LA TINTA,23,municipio_desconocido,Santa Catalina La Tinta,90.0,revisar
QUETZALTENANGO,GENOVA COSTA CUCA,11,municipio_desconocido,Génova,90.0,revisar
ALTA VERAPAZ,LANQUIN,10,municipio_desconocido,San Agustín Lanquín,90.0,revisar
SACATEPEQUEZ,ALOTENANGO,9,municipio_desconocido,San Juan Alotenango,90.0,revisar
QUETZALTENANGO,OLINTEPEQUE,5,municipio_desconocido,San Juan Olintepeque,90.0,revisar
