control,estado,conteo,detalle,evidencia
duplicados_exactos,requiere_revision,978 pares,"Duplicados exactos=0; pendientes: 718 duplicado_probable, 260 revisar y 0 institucional; finales: 0 duplicado_confirmado y 11 independiente_confirmado.",data/processed/establecimientos_diversificado_limpio.csv; outputs/tablas/duplicados_parciales.csv
espacios_exteriores,cumple,0 campos,Celdas de texto con espacios al inicio o al final.,data/processed/establecimientos_diversificado_limpio.csv
formato_telefonos,requiere_revision,245 registros,Teléfonos inspeccionados en el limpio; problemas_potenciales es diagnóstico histórico de la fuente.,data/processed/establecimientos_diversificado_limpio.csv; outputs/tablas/problemas_potenciales.csv
catalogo_territorial,requiere_revision,145 filas,Filas territoriales conservadas para revisión contra catálogo.,outputs/tablas/inconsistencias_territoriales.csv
tipos_esperados,cumple,21 variables,"Esquema semántico esperado; identificadores, códigos y teléfonos se preservan como texto en CSV.",data/processed/establecimientos_diversificado_limpio.csv; docs/code_book/variables_anggie.md
categorias_sin_variantes,cumple,0 categorías,Categorías distintas que colapsan al normalizar espacios y mayúsculas.,data/processed/establecimientos_diversificado_limpio.csv
valores_invalidos_diagnosticados,requiere_revision,390 hallazgos,245 teléfonos vigentes + 145 filas territoriales + 0 otros hallazgos históricos; no representa filas únicas ni suma el diagnóstico telefónico histórico.,data/processed/establecimientos_diversificado_limpio.csv; outputs/tablas/problemas_potenciales.csv; outputs/tablas/inconsistencias_territoriales.csv
